Title,Budget,Popularity,Release Date,Revenue,Runtime,Vote_average,Vote_count
A Beautiful Mind,60000000,13.619,2001-12-11,313542341,135,7.8,5055
Gosford Park,19800000,7.971,2001-11-07,87754044,131,7.0,420
In the Bedroom,1700000,7.506,2001-11-23,0,130,6.8,138
The Lord of the Rings: The Fellowship of the Ring,93000000,34.878,2001-12-18,871368364,178,8.3,13545
Moulin Rouge!,52500000,11.251,2001-03-09,179213434,127,7.6,2394
Chicago,45000000,7.726,2002-12-26,306776732,113,7.1,1195
Gangs of New York,100000000,10.597,2002-12-14,193772504,167,7.2,3212
The Hours,25000000,10.1,2002-12-27,41597830,114,7.3,795
The Lord of the Rings: The Two Towers,79000000,26.398,2002-12-18,926287400,179,8.2,11690
The Pianist,35000000,16.422,2002-09-17,120072577,150,8.3,3587
The Lord of the Rings: The Return of the King,94000000,30.81,2003-12-01,1118888979,201,8.4,12334
Lost in Translation,4000000,12.747,2003-08-31,119723856,102,7.4,3189
Master and Commander: The Far Side of the World,150000000,15.766,2003-11-14,212011111,138,7.1,1372
Mystic River,25000000,12.088,2003-10-07,156822020,138,7.7,2738
Seabiscuit,87000000,7.692,2003-07-22,148336445,141,6.9,380
The Aviator,110000000,13.814,2004-12-17,102000000,170,7.1,2478
Finding Neverland,25000000,12.938,2004-10-17,116766556,106,7.3,2132
Million Dollar Baby,30000000,11.5,2004-12-15,216763646,132,7.9,4486
Ray,40000000,7.002,2004-10-29,124731534,152,7.3,778
Sideways,16000000,6.651,2004-10-22,109502303,127,7.1,752
Brokeback Mountain,14000000,12.388,2005-09-10,178043761,134,7.7,3037
Capote,7000000,7.328,2005-09-30,49084830,114,7.0,642
Crash,6500000,12.989,2005-05-06,98410061,112,7.3,1778
"Good Night, and Good Luck.",7000000,6.167,2005-09-16,54600000,93,7.1,417
Munich,70000000,8.78,2005-12-23,130358911,164,7.1,1149
Babel,25000000,13.539,2006-09-08,135330182,143,7.1,1749
The Departed,90000000,12.623,2006-10-05,289847354,151,8.1,7272
Letters from Iwo Jima,19000000,8.922,2006-12-19,68673228,141,7.5,901
Little Miss Sunshine,8000000,6.465,2006-07-26,100523181,102,7.6,3210
The Queen,15000000,10.622,2006-09-15,123384128,103,7.0,578
Atonement,30000000,10.853,2007-08-29,129266061,123,7.6,1869
Juno,7500000,9.567,2007-12-05,231411584,96,7.0,3844
Michael Clayton,25000000,8.732,2007-09-28,92991835,119,6.7,779
No Country for Old Men,25000000,18.092,2007-11-08,171627166,122,7.9,5436
There Will Be Blood,25000000,12.522,2007-12-28,77208711,158,8.1,2644
The Curious Case of Benjamin Button,150000000,18.159,2008-12-25,333932083,166,7.4,6047
Frost/Nixon,25000000,8.681,2008-10-15,18593156,122,7.4,547
Milk,20000000,6.557,2008-11-26,54586584,128,7.3,1058
The Reader,32000000,10.652,2008-12-10,113019290,124,7.4,1428
Slumdog Millionaire,15000000,16.61,2008-05-12,377910544,120,7.7,5297
Avatar,237000000,28.454,2009-12-10,2787965087,162,7.4,17644
The Blind Side,29000000,15.242,2009-11-20,309208309,129,7.5,2582
District 9,30000000,17.963,2009-08-05,210819611,112,7.3,5116
An Education,7500000,8.109,2009-10-29,26096852,100,7.0,674
The Hurt Locker,15000000,12.491,2008-10-10,42000000,131,7.3,2853
Inglourious Basterds,70000000,23.496,2009-08-18,319131050,153,8.1,11020
Precious,10000000,6.439,2009-11-06,47536959,110,7.2,706
A Serious Man,7000000,8.434,2009-10-02,31430334,105,6.7,877
Up,175000000,20.887,2009-05-28,735099082,96,7.9,11508
Up in the Air,25000000,9.018,2009-09-05,163670000,110,6.8,1912
Black Swan,13000000,16.828,2010-12-03,327803731,108,7.5,7801
The Fighter,25000000,10.413,2010-12-17,93617009,116,7.3,2192
Inception,160000000,33.364,2010-07-15,825532764,148,8.3,20837
The Kids Are All Right,3500000,12.082,2010-07-09,34705850,106,6.6,804
The King's Speech,15000000,11.579,2010-09-06,414211549,118,7.7,4675
127 Hours,18000000,10.293,2010-11-05,35692920,94,7.0,4161
The Social Network,40000000,17.325,2010-10-01,224920315,121,7.2,5581
Toy Story 3,200000000,17.98,2010-06-16,1066969703,103,7.7,7736
True Grit,38000000,12.349,2010-12-22,252276927,110,7.2,2628
Winter's Bone,2000000,6.234,2010-06-11,13831503,101,6.9,889
The Artist,15000000,10.312,2011-06-26,133432856,100,7.4,1677
The Descendants,20000000,11.247,2011-09-09,177243185,115,6.8,1427
Extremely Loud & Incredibly Close,40000000,8.268,2011-12-24,55247881,129,7.0,1162
The Help,25000000,9.721,2011-08-09,124272124,146,8.1,3605
Hugo,170000000,9.79,2011-11-22,185770160,126,7.1,3781
Midnight in Paris,30000000,12.094,2011-05-11,151119219,94,7.5,3646
Moneyball,50000000,10.718,2011-09-22,110206216,134,7.1,2103
The Tree of Life,32000000,9.855,2011-05-18,54674226,139,6.6,1622
War Horse,66000000,8.492,2011-12-25,177584879,146,7.2,1727
Amour,8900000,6.201,2012-07-01,29844753,127,7.7,682
Argo,44500000,12.473,2012-10-11,232324128,120,7.2,4863
Beasts of the Southern Wild,1800000,7.114,2012-06-29,21107746,93,6.9,580
Django Unchained,100000000,25.624,2012-12-25,425368238,165,8.0,14738
Les Misérables,61000000,13.605,2012-12-18,441809770,157,7.3,3047
Life of Pi,120000000,13.05,2012-11-20,609016565,127,7.3,8290
Lincoln,65000000,9.098,2012-11-09,275293450,149,6.8,2117
Silver Linings Playbook,21000000,15.172,2012-09-08,236412453,122,7.1,7147
Zero Dark Thirty,40000000,13.34,2012-12-19,132820716,157,6.9,2414
American Hustle,40000000,13.075,2013-12-12,251171807,138,6.8,4215
Captain Phillips,55000000,12.945,2013-10-10,95000000,134,7.6,3676
Dallas Buyers Club,5000000,12.627,2013-11-17,55198285,117,7.9,4634
Gravity,105000000,19.178,2013-10-03,716392705,91,7.2,8969
Her,23000000,15.026,2013-12-18,47351251,126,7.9,7143
Nebraska,12000000,8.771,2013-09-21,17654912,115,7.5,912
Philomena,12000000,12.621,2013-11-01,100129872,98,7.4,889
12 Years a Slave,20000000,20.808,2013-10-18,187000000,134,7.9,6156
The Wolf of Wall Street,100000000,22.827,2013-12-25,392000694,180,7.9,11384
American Sniper,58800000,18.232,2014-12-11,542307423,133,7.4,7129
Birdman,18000000,24.385,2014-08-27,103215094,120,7.4,7188
Boyhood,4000000,9.138,2014-06-05,44349000,164,7.5,2906
The Grand Budapest Hotel,30000000,16.01,2014-02-26,174600318,99,8.0,7519
The Imitation Game,14000000,29.678,2014-11-14,233555708,113,8.1,9686
Selma,20000000,6.128,2014-12-25,66787908,127,7.5,1257
The Theory of Everything,15000000,15.128,2014-11-26,123726688,123,7.9,5954
Whiplash,3300000,28.978,2014-10-10,13092000,107,8.4,7303
The Big Short,28000000,12.24,2015-12-11,133346506,131,7.3,4253
Bridge of Spies,40000000,11.38,2015-10-15,165478348,141,7.2,4046
Brooklyn,11000000,10.04,2015-10-20,62076141,111,7.3,1808
Mad Max: Fury Road,150000000,29.146,2015-05-13,378858340,121,7.4,13677
The Martian,108000000,26.073,2015-09-30,630161890,141,7.7,11391
The Revenant,135000000,18.112,2015-12-25,532950503,157,7.4,10248
Room,6000000,14.992,2015-10-16,35401758,117,8.1,4909
Spotlight,20000000,14.14,2015-11-06,88346473,129,7.8,4544
