Title,Budget,Popularity,Release Date,Revenue,Runtime,Vote_average,Vote_count
Bohemian Rhapsody,52000000,170.104,2018-10-24,835137710,135,8.2,4895
Black Panther,200000000,53.369,2018-02-13,1346739107,134,7.4,10532
BlacKkKlansman,15000000,31.767,2018-07-30,48271960,135,7.5,2020
The Favourite,15000000,139.806,2018-11-20,44517453,119,7.7,840
Roma,15000000,34.205,2018-08-25,0,135,8.0,1086
A Star Is Born,36000000,105.901,2018-10-03,418235869,135,7.4,3567
Vice,60000000,45.84,2018-12-25,52138055,132,7.2,453
Green Book,23000000,56.313,2018-11-16,61904186,130,8.4,965
