Title,Budget,Popularity,Release Date,Revenue,Runtime,Vote_average,Vote_count
La La Land,30000000,17.561,2016-11-29,445435700,129,7.9,9285
Arrival,47000000,20.369,2016-11-10,203388186,116,7.4,9707
Lion,12000000,24.197,2016-11-24,140302754,118,8.1,3479
Hell or High Water,12000000,12.255,2016-08-12,37589296,102,7.3,2289
Hidden Figures,25000000,19.442,2016-12-10,230698791,127,8.0,4360
Moonlight,4000000,11.615,2016-10-21,65046687,111,7.3,3551
Hacksaw Ridge,40000000,19.047,2016-10-07,175302354,140,8.0,6136
Manchester by the Sea,9000000,10.412,2016-11-18,75026965,138,7.5,2899
Fences,24000000,10.158,2016-12-16,64414761,139,6.8,1370
