Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",Won 6 Oscars. Another 215 wins & 254 nominations.,"$151,058,124","USA, Hong Kong",Damien Chazelle,"Comedy, Drama, Music, Musical, Romance",PG-13,La La Land,Damien Chazelle,2016,8.0
"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Won 1 Oscar. Another 64 wins & 251 nominations.,"$100,501,349",USA,Denis Villeneuve,"Drama, Mystery, Sci-Fi, Thriller",PG-13,Arrival,"Eric Heisserer (screenplay by), Ted Chiang (based on the story ""Story of Your Life"" written by)",2016,7.9
"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki",Nominated for 6 Oscars. Another 49 wins & 80 nominations.,"$51,694,854","UK, Australia, USA",Garth Davis,"Biography, Drama",PG-13,Lion,"Saroo Brierley (adapted from the book ""A Long Way Home"" by), Luke Davies (screenplay by)",2016,8.1
"Dale Dickey, Ben Foster, Chris Pine, William Sterchi",Nominated for 4 Oscars. Another 42 wins & 157 nominations.,"$26,973,524",USA,David Mackenzie,"Action, Crime, Drama, Thriller, Western",R,Hell or High Water,Taylor Sheridan,2016,7.6
"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",Nominated for 3 Oscars. Another 36 wins & 81 nominations.,"$169,385,416",USA,Theodore Melfi,"Biography, Drama, History",PG,Hidden Figures,"Allison Schroeder (screenplay by), Theodore Melfi (screenplay by), Margot Lee Shetterly (based on the book by)",2016,7.8
"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Won 3 Oscars. Another 220 wins & 270 nominations.,"$27,850,910",USA,Barry Jenkins,Drama,R,Moonlight,"Barry Jenkins (screenplay by), Tarell Alvin McCraney (story by)",2016,7.4
"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",Won 2 Oscars. Another 46 wins & 111 nominations.,"$67,115,062","Australia, USA",Mel Gibson,"Biography, Drama, History, War",R,Hacksaw Ridge,"Robert Schenkkan (screenplay by), Andrew Knight (screenplay by)",2016,8.1
"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",Won 2 Oscars. Another 117 wins & 243 nominations.,"$47,695,120",USA,Kenneth Lonergan,Drama,R,Manchester by the Sea,Kenneth Lonergan,2016,7.8
"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo",Won 1 Oscar. Another 52 wins & 106 nominations.,"$57,642,961","USA, Canada",Denzel Washington,Drama,PG-13,Fences,"August Wilson (screenplay by), August Wilson (based upon his play ""Fences"")",2016,7.2
