common_name,scientific_name,year,status
Chilean Common Hake,Merluccius gayi,2010,Data Deficient
Chilean Jack Mackerel,Trachurus murphyi,2010,Data Deficient
Coelacanth,Latimeria chalumnae,2000,Critically Endangered
Coelacanth,Latimeria chalumnae,1996,Endangered
Coelacanth,Latimeria chalumnae,1994,Vulnerable
Coelacanth,Latimeria chalumnae,1990,Vulnerable
Coelacanth,Latimeria chalumnae,1988,Insufficiently Known
Common Dolphinfish,Coryphaena hippurus,2011,Least Concern
Common Dolphinfish,Coryphaena hippurus,2010,Least Concern
Common Fangtooth,Anoplogaster cornuta,2015,Least Concern
Deep Sea Anglerfish,Melanocetus johnsonii,2015,Least Concern
John Dory,Zeus faber,2015,Data Deficient
Leafy Seadragon,Phycodurus eques,2017,Least Concern
Leafy Seadragon,Phycodurus eques,2006,Near Threatened
Leafy Seadragon,Phycodurus eques,1996,Data Deficient
Mexican Lookdown,Selene brevoortii,2010,Least Concern
Northern Red Snapper,Lutjanus campechanus,2015,Vulnerable
Oarfish,Regalecus glesne,2015,Least Concern
Ocean Sunfish,Mola mola,2015,Vulnerable
Pacific Sardine,Sardinops sagax,2018,Least Concern
Peruvian Anchoveta,Engraulis ringens,2010,Least Concern
Sailfish,Istiophorus platypterus,2011,Least Concern
Sarcastic Fringehead,Neoclinus blanchardi,2014,Least Concern
Skipjack Tuna,Katsuwonus pelamis,2011,Least Concern
Slender Snipe Eel,Nemichthys scolopaceus,2015,Least Concern
Smalltooth Sawfish,Pristis pectinata,2013,Critically Endangered
Smalltooth Sawfish,Pristis pectinata,2006,Critically Endangered
Smalltooth Sawfish,Pristis pectinata,2000,Endangered
Smalltooth Sawfish,Pristis pectinata,1996,Endangered
Spotted Ratfish,Hydrolagus colliei,2015,Least Concern
Spotted Ratfish,Hydrolagus colliei,2006,Least Concern
Stonefish,Synanceia verrucosa,2018,Least Concern
Stoplight Loosejaw,Malacosteus niger,2015,Least Concern
Summer Flounder,Paralichthys dentatus,2010,Least Concern
Swordfish,Xiphias gladius,2011,Least Concern
Swordfish,Xiphias gladius,1996,Data Deficient
Tan Bristlemouth,Cyclothone pallida,2015,Least Concern
Tropical Two-wing Flyingfish,Exocoetus volitans,2015,Least Concern
Wahoo,Acanthocybium solandri,2011,Least Concern
White-ring Garden Eel,Heteroconger canabus,2010,Data Deficient
Yellowfin Tuna,Thunnus albacares,2011,Near Threatened
Yellowfin Tuna,Thunnus albacares,1996,Lower Risk/least concern
