category,common_name,scientific_name,threats
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Habitat shifting & alteration
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Longsnout Butterflyfish,Prognathodes aculeatus,Fishing & harvesting aquatic resources
Large Oval Fish,Orange-Banded Coralfish,Coradion chrysozonus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Orange-Banded Coralfish,Coradion chrysozonus,Fishing & harvesting aquatic resources
Large Oval Fish,Two-Eyed Coralfish,Coradion melanopus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Two-Eyed Coralfish,Coradion melanopus,Fishing & harvesting aquatic resources
Large Oval Fish,Humphead Bannerfish,Heniochus varius,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Humphead Bannerfish,Heniochus varius,Fishing & harvesting aquatic resources
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Habitat shifting & alteration
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Pennant Bannerfish,Heniochus chrysostomus,Fishing & harvesting aquatic resources
Large Oval Fish,Masked Bannerfish,Heniochus monoceros,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Masked Bannerfish,Heniochus monoceros,Fishing & harvesting aquatic resources
Large Oval Fish,Singular Bannerfish,Heniochus singularius,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Singular Bannerfish,Heniochus singularius,Fishing & harvesting aquatic resources
Large Oval Fish,Schooling Bannerfish,Heniochus diphreutes,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Schooling Bannerfish,Heniochus diphreutes,Fishing & harvesting aquatic resources
Large Oval Fish,Longnose Butterflyfish,Forcipiger flavissimus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Longnose Butterflyfish,Forcipiger flavissimus,Fishing & harvesting aquatic resources
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Habitat shifting & alteration
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Big Longnose Butterflyfish,Forcipiger longirostris,Fishing & harvesting aquatic resources
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Habitat shifting & alteration
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Intentional use: (large scale) [harvest]
Large Oval Fish,Foureye Butterflyfish,Chaetodon capistratus,Fishing & harvesting aquatic resources
Large Oval Fish,Spotfin Butterflyfish,Chaetodon ocellatus,Unintentional effects: (subsistence/small scale) [harvest]
Large Oval Fish,Spotfin Butterflyfish,Chaetodon ocellatus,Fishing & harvesting aquatic resources
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Habitat shifting & alteration
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Vagabond Butterflyfish,Chaetodon vagabundus,Fishing & harvesting aquatic resources
Large Oval Fish,Atoll Butterflyfish,Chaetodon mertensii,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Atoll Butterflyfish,Chaetodon mertensii,Fishing & harvesting aquatic resources
Large Oval Fish,Crosshatch Butterflyfish,Chaetodon xanthurus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Crosshatch Butterflyfish,Chaetodon xanthurus,Fishing & harvesting aquatic resources
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Fishing & harvesting aquatic resources
Large Oval Fish,Chevroned Butterflyfish,Chaetodon trifascialis,Temperature extremes
Large Oval Fish,Saddled Butterflyfish,Chaetodon ephippium,Intentional use: (large scale) [harvest]
Large Oval Fish,Saddled Butterflyfish,Chaetodon ephippium,Fishing & harvesting aquatic resources
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Habitat shifting & alteration
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Ornate Butterflyfish,Chaetodon ornatissimus,Fishing & harvesting aquatic resources
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Habitat shifting & alteration
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,Fishing & harvesting aquatic resources
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Habitat shifting & alteration
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Eastern Triangular Butterflyfish,Chaetodon baronessa,Fishing & harvesting aquatic resources
Large Oval Fish,Redfin Butterflyfish,Chaetodon lunulatus,Habitat shifting & alteration
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Habitat shifting & alteration
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Fourspot Butterflyfish,Chaetodon quadrimaculatus,Fishing & harvesting aquatic resources
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Habitat shifting & alteration
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Speckled Butterflyfish,Chaetodon citrinellus,Fishing & harvesting aquatic resources
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Habitat shifting & alteration
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Meyer's Butterflyfish,Chaetodon meyeri,Fishing & harvesting aquatic resources
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Habitat shifting & alteration
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Dot-Dash Butterflyfish,Chaetodon pelewensis,Fishing & harvesting aquatic resources
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Habitat shifting & alteration
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Multiband Butterflyfish,Chaetodon multicinctus,Fishing & harvesting aquatic resources
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Habitat shifting & alteration
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,Fishing & harvesting aquatic resources
Large Oval Fish,Panda Butterflyfish,Chaetodon adiergastos,Habitat shifting & alteration
Large Oval Fish,Panda Butterflyfish,Chaetodon adiergastos,Unintentional effects: (subsistence/small scale) [harvest]
Large Oval Fish,Panda Butterflyfish,Chaetodon adiergastos,Fishing & harvesting aquatic resources
Large Oval Fish,Black-Backed Butterflyfish,Chaetodon melannotus,Habitat shifting & alteration
Large Oval Fish,Black-Backed Butterflyfish,Chaetodon melannotus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Black-Backed Butterflyfish,Chaetodon melannotus,Fishing & harvesting aquatic resources
Large Oval Fish,Blue-Spot Butterflyfish,Chaetodon plebeius,Habitat shifting & alteration
Large Oval Fish,Blue-Spot Butterflyfish,Chaetodon plebeius,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Blue-Spot Butterflyfish,Chaetodon plebeius,Fishing & harvesting aquatic resources
Large Oval Fish,Dotted butterflyfish,Chaetodon semeion,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Dotted butterflyfish,Chaetodon semeion,Fishing & harvesting aquatic resources
Large Oval Fish,Eclipse Butterflyfish,Chaetodon bennetti,Habitat shifting & alteration
Large Oval Fish,Eclipse Butterflyfish,Chaetodon bennetti,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Eclipse Butterflyfish,Chaetodon bennetti,Fishing & harvesting aquatic resources
Large Oval Fish,Ovalspot Butterflyfish,Chaetodon speculum,Habitat shifting & alteration
Large Oval Fish,Ovalspot Butterflyfish,Chaetodon speculum,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Ovalspot Butterflyfish,Chaetodon speculum,Fishing & harvesting aquatic resources
Large Oval Fish,Teardrop Butterflyfish,Chaetodon unimaculatus,Habitat shifting & alteration
Large Oval Fish,Teardrop Butterflyfish,Chaetodon unimaculatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Teardrop Butterflyfish,Chaetodon unimaculatus,Fishing & harvesting aquatic resources
Large Oval Fish,Spot-Nape Butterflyfish,Chaetodon oxycephalus,Habitat shifting & alteration
Large Oval Fish,Spot-Nape Butterflyfish,Chaetodon oxycephalus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Spot-Nape Butterflyfish,Chaetodon oxycephalus,Fishing & harvesting aquatic resources
Large Oval Fish,Latticed Butterflyfish,Chaetodon rafflesii,Habitat shifting & alteration
Large Oval Fish,Latticed Butterflyfish,Chaetodon rafflesii,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Latticed Butterflyfish,Chaetodon rafflesii,Fishing & harvesting aquatic resources
Large Oval Fish,Eight-Banded Butterflyfish,Chaetodon octofasciatus,Habitat shifting & alteration
Large Oval Fish,Eight-Banded Butterflyfish,Chaetodon octofasciatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Eight-Banded Butterflyfish,Chaetodon octofasciatus,Fishing & harvesting aquatic resources
Large Oval Fish,Reticulated Butterflyfish,Chaetodon reticulatus,Habitat shifting & alteration
Large Oval Fish,Reticulated Butterflyfish,Chaetodon reticulatus,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Reticulated Butterflyfish,Chaetodon reticulatus,Fishing & harvesting aquatic resources
Large Oval Fish,Threadfin Butterflyfish,Chaetodon auriga,Habitat shifting & alteration
Large Oval Fish,Threadfin Butterflyfish,Chaetodon auriga,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Threadfin Butterflyfish,Chaetodon auriga,Fishing & harvesting aquatic resources
Large Oval Fish,Bluestripe Butterflyfish,Chaetodon fremblii,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Bluestripe Butterflyfish,Chaetodon fremblii,Fishing & harvesting aquatic resources
Large Oval Fish,Threebanded Butterflyfish,Chaetodon humeralis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Threebanded Butterflyfish,Chaetodon humeralis,Fishing & harvesting aquatic resources
Large Oval Fish,Pyramid Butterflyfish,Hemitaurichthys polylepis,Other impacts
Large Oval Fish,Pyramid Butterflyfish,Hemitaurichthys polylepis,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Pyramid Butterflyfish,Hemitaurichthys polylepis,Fishing & harvesting aquatic resources
Large Oval Fish,Blacknosed Butterflyfish,Johnrandallia nigrirostris,Habitat shifting & alteration
Large Oval Fish,Blacknosed Butterflyfish,Johnrandallia nigrirostris,Intentional use: (subsistence/small scale) [harvest]
Large Oval Fish,Blacknosed Butterflyfish,Johnrandallia nigrirostris,Fishing & harvesting aquatic resources
Small Oval Fish,Longfin Damselfish,Stegastes diencaeus,Intentional use: (large scale) [harvest]
Small Oval Fish,Longfin Damselfish,Stegastes diencaeus,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Longfin Damselfish,Stegastes diencaeus,Fishing & harvesting aquatic resources
Small Oval Fish,Beaugregory,Stegastes leucostictus,Intentional use: (large scale) [harvest]
Small Oval Fish,Beaugregory,Stegastes leucostictus,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Beaugregory,Stegastes leucostictus,Fishing & harvesting aquatic resources
Small Oval Fish,Bicolor Damselfish,Stegastes partitus,Intentional use: (large scale) [harvest]
Small Oval Fish,Bicolor Damselfish,Stegastes partitus,Fishing & harvesting aquatic resources
Small Oval Fish,Yellowtail Damselfish,Microspathodon chrysurus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Yellowtail Damselfish,Microspathodon chrysurus,Fishing & harvesting aquatic resources
Small Oval Fish,Golden Damselfish,Amblyglyphidodon aureus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Golden Damselfish,Amblyglyphidodon aureus,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Golden Damselfish,Amblyglyphidodon aureus,Fishing & harvesting aquatic resources
Small Oval Fish,Staghorn Damselfish,Amblyglyphidodon curacao,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Staghorn Damselfish,Amblyglyphidodon curacao,Housing & urban areas
Small Oval Fish,Staghorn Damselfish,Amblyglyphidodon curacao,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Staghorn Damselfish,Amblyglyphidodon curacao,Fishing & harvesting aquatic resources
Small Oval Fish,Staghorn Damselfish,Amblyglyphidodon curacao,Temperature extremes
Small Oval Fish,White-Belly Damselfish,Amblyglyphidodon leucogaster,Work & other activities
Small Oval Fish,Black-Banded Damselfish,Amblypomacentrus breviceps,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Black-Banded Damselfish,Amblypomacentrus breviceps,Fishing & harvesting aquatic resources
Small Oval Fish,Sergeant Major,Abudefduf saxatilis,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Sergeant Major,Abudefduf saxatilis,Fishing & harvesting aquatic resources
Small Oval Fish,Hawaiian Sergeant,Abudefduf abdominalis,Invasive non-native/alien species/diseases (Abudefduf vaigiensis)
Small Oval Fish,Hawaiian Sergeant,Abudefduf abdominalis,Named species (Abudefduf vaigiensis)
Small Oval Fish,Hawaiian Sergeant,Abudefduf abdominalis,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Hawaiian Sergeant,Abudefduf abdominalis,Fishing & harvesting aquatic resources
Small Oval Fish,Indo-Pacific Sergeant,Abudefduf vaigiensis,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Indo-Pacific Sergeant,Abudefduf vaigiensis,Fishing & harvesting aquatic resources
Small Oval Fish,Scissortail Sergeant,Abudefduf sexfasciatus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Scissortail Sergeant,Abudefduf sexfasciatus,Fishing & harvesting aquatic resources
Small Oval Fish,Night Sergeant,Abudefduf taurus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Night Sergeant,Abudefduf taurus,Fishing & harvesting aquatic resources
Small Oval Fish,Blackspot Sergeant,Abudefduf sordidus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Blackspot Sergeant,Abudefduf sordidus,Fishing & harvesting aquatic resources
Small Oval Fish,Blue Chromis,Chromis cyanea,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Blue Chromis,Chromis cyanea,Named species (Unspecified Pterois)
Small Oval Fish,Blue Chromis,Chromis cyanea,Fishing & harvesting aquatic resources
Small Oval Fish,Blue Chromis,Chromis cyanea,Invasive non-native/alien species/diseases (Unspecified Pterois)
Small Oval Fish,Blue Chromis,Chromis cyanea,Habitat shifting & alteration
Small Oval Fish,Blue Chromis,Chromis cyanea,Other threat
Small Oval Fish,Brown Chromis,Chromis multilineata,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Brown Chromis,Chromis multilineata,Fishing & harvesting aquatic resources
Small Oval Fish,Darkfin Chromis,Chromis atripes,Work & other activities
Small Oval Fish,Darkfin Chromis,Chromis atripes,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Darkfin Chromis,Chromis atripes,Fishing & harvesting aquatic resources
Small Oval Fish,Ambon chromis,Chromis amboinensis,Work & other activities
Small Oval Fish,Ambon chromis,Chromis amboinensis,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Ambon chromis,Chromis amboinensis,Fishing & harvesting aquatic resources
Small Oval Fish,Sunshinefish,Chromis insolata,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Sunshinefish,Chromis insolata,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Sunshinefish,Chromis insolata,Fishing & harvesting aquatic resources
Small Oval Fish,Spiny Chromis,Acanthochromis polyacanthus,Work & other activities
Small Oval Fish,Spiny Chromis,Acanthochromis polyacanthus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Spiny Chromis,Acanthochromis polyacanthus,Other ecosystem modifications
Small Oval Fish,Spiny Chromis,Acanthochromis polyacanthus,Fishing & harvesting aquatic resources
Small Oval Fish,Pink Anemonefish,Amphiprion perideraion,Habitat shifting & alteration
Small Oval Fish,Pink Anemonefish,Amphiprion perideraion,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Pink Anemonefish,Amphiprion perideraion,Fishing & harvesting aquatic resources
Small Oval Fish,Pink Anemonefish,Amphiprion perideraion,Work & other activities
Small Oval Fish,Red And Black Anemonefish,Amphiprion melanopus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Red And Black Anemonefish,Amphiprion melanopus,Fishing & harvesting aquatic resources
Small Oval Fish,Tomato Anemonefish,Amphiprion frenatus,Intentional use: (subsistence/small scale) [harvest]
Small Oval Fish,Tomato Anemonefish,Amphiprion frenatus,Unintentional effects: (subsistence/small scale) [harvest]
Small Oval Fish,Tomato Anemonefish,Amphiprion frenatus,Fishing & harvesting aquatic resources
Small Oval Fish,Tomato Anemonefish,Amphiprion frenatus,Habitat shifting & alteration
Small Oval Fish,Tomato Anemonefish,Amphiprion frenatus,Work & other activities
Silvery Fish,Horse-Eye Jack,Caranx latus,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Horse-Eye Jack,Caranx latus,Fishing & harvesting aquatic resources
Silvery Fish,Blue Runner,Caranx crysos,Intentional use: (large scale) [harvest]
Silvery Fish,Blue Runner,Caranx crysos,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Blue Runner,Caranx crysos,Fishing & harvesting aquatic resources
Silvery Fish,Whitetongue Jack,Uraspis helvola,Unintentional effects: (large scale) [harvest]
Silvery Fish,Whitetongue Jack,Uraspis helvola,Fishing & harvesting aquatic resources
Silvery Fish,Rainbow Runner,Elagatis bipinnulata,Unintentional effects: (large scale) [harvest]
Silvery Fish,Rainbow Runner,Elagatis bipinnulata,Fishing & harvesting aquatic resources
Silvery Fish,Palometa,Trachinotus goodei,Intentional use: (large scale) [harvest]
Silvery Fish,Palometa,Trachinotus goodei,Fishing & harvesting aquatic resources
Silvery Fish,Gafftopsail Pompano,Trachinotus rhodopus,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Gafftopsail Pompano,Trachinotus rhodopus,Fishing & harvesting aquatic resources
Silvery Fish,Saucereye Porgy,Calamus calamus,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Saucereye Porgy,Calamus calamus,Other ecosystem modifications
Silvery Fish,Saucereye Porgy,Calamus calamus,Housing & urban areas
Silvery Fish,Saucereye Porgy,Calamus calamus,Unintentional effects: (subsistence/small scale) [harvest]
Silvery Fish,Saucereye Porgy,Calamus calamus,Fishing & harvesting aquatic resources
Silvery Fish,Saucereye Porgy,Calamus calamus,Tourism & recreation areas
Silvery Fish,Jolthead Porgy,Calamus bajonado,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Jolthead Porgy,Calamus bajonado,Other ecosystem modifications
Silvery Fish,Jolthead Porgy,Calamus bajonado,Housing & urban areas
Silvery Fish,Jolthead Porgy,Calamus bajonado,Fishing & harvesting aquatic resources
Silvery Fish,Jolthead Porgy,Calamus bajonado,Commercial & industrial areas
Silvery Fish,Sheepshead,Archosargus probatocephalus,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Sheepshead,Archosargus probatocephalus,Unintentional effects: (subsistence/small scale) [harvest]
Silvery Fish,Sheepshead,Archosargus probatocephalus,Fishing & harvesting aquatic resources
Silvery Fish,Sheepshead,Archosargus probatocephalus,Unintentional effects: (large scale) [harvest]
Silvery Fish,Sheepshead,Archosargus probatocephalus,Intentional use: (large scale) [harvest]
Silvery Fish,Yellowfin Mojarra,Gerres cinereus,Other ecosystem modifications
Silvery Fish,Pacific Chub,Scomber japonicus,Motivation Unknown/Unrecorded
Silvery Fish,Pacific Chub,Scomber japonicus,Fishing & harvesting aquatic resources
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Recreational activities
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Dams & water management/use
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Herbicides and pesticides
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Sewage
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Housing & urban areas
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Run-off
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Unintentional effects: (subsistence/small scale) [harvest]
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Fishing & harvesting aquatic resources
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Dams (size unknown)
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,"Soil erosion, sedimentation"
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Agricultural & forestry effluents
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Unintentional effects: (large scale) [harvest]
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Tourism & recreation areas
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Commercial & industrial areas
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Nutrient loads
Silvery Fish,Atlantic Tarpon,Megalops atlanticus,Domestic & urban waste water
Silvery Fish,Bonefish,Albula vulpes,Intentional use: (subsistence/small scale) [harvest]
Silvery Fish,Bonefish,Albula vulpes,Recreational activities
Silvery Fish,Bonefish,Albula vulpes,Other ecosystem modifications
Silvery Fish,Bonefish,Albula vulpes,Fishing & harvesting aquatic resources
Silvery Fish,Bonefish,Albula vulpes,Habitat shifting & alteration
Silvery Fish,Bonefish,Albula vulpes,Work & other activities
Silvery Fish,Bonefish,Albula vulpes,Temperature extremes
Silvery Fish,Ballyhoo,Hemiramphus brasiliensis,Intentional use: (large scale) [harvest]
Silvery Fish,Ballyhoo,Hemiramphus brasiliensis,Fishing & harvesting aquatic resources
Groupers and Seabasses,Red Hind,Epinephelus guttatus,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Red Hind,Epinephelus guttatus,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Red Hind,Epinephelus guttatus,Unintentional effects: (subsistence/small scale) [harvest]
Groupers and Seabasses,Red Hind,Epinephelus guttatus,Fishing & harvesting aquatic resources
Groupers and Seabasses,Brown-Marbled Grouper,Epinephelus fuscoguttatus,Habitat shifting & alteration
Groupers and Seabasses,Brown-Marbled Grouper,Epinephelus fuscoguttatus,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Brown-Marbled Grouper,Epinephelus fuscoguttatus,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Brown-Marbled Grouper,Epinephelus fuscoguttatus,Fishing & harvesting aquatic resources
Groupers and Seabasses,Honeycomb grouper,Epinephelus merra,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Honeycomb grouper,Epinephelus merra,Fishing & harvesting aquatic resources
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Fishing & harvesting aquatic resources
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,"Soil erosion, sedimentation"
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Habitat shifting & alteration
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Agricultural & forestry effluents
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Commercial & industrial areas
Groupers and Seabasses,Camouflage Grouper,Epinephelus polyphekadion,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Blacktip Grouper,Epinephelus fasciatus,Habitat shifting & alteration
Groupers and Seabasses,Blacktip Grouper,Epinephelus fasciatus,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Blacktip Grouper,Epinephelus fasciatus,Unintentional effects: (large scale) [harvest]
Groupers and Seabasses,Blacktip Grouper,Epinephelus fasciatus,Fishing & harvesting aquatic resources
Groupers and Seabasses,Specklefin Grouper,Epinephelus ongus,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Specklefin Grouper,Epinephelus ongus,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Specklefin Grouper,Epinephelus ongus,Fishing & harvesting aquatic resources
Groupers and Seabasses,Starry Grouper,Epinephelus labriformis,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Starry Grouper,Epinephelus labriformis,Fishing & harvesting aquatic resources
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Sewage
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Fishing & harvesting aquatic resources
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,"Soil erosion, sedimentation"
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Agricultural & forestry effluents
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Black Grouper,Mycteroperca bonaci,Domestic & urban waste water
Groupers and Seabasses,Tiger Grouper,Mycteroperca tigris,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Tiger Grouper,Mycteroperca tigris,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Tiger Grouper,Mycteroperca tigris,Fishing & harvesting aquatic resources
Groupers and Seabasses,Yellowmouth Grouper,Mycteroperca interstitialis,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Yellowmouth Grouper,Mycteroperca interstitialis,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Yellowmouth Grouper,Mycteroperca interstitialis,Fishing & harvesting aquatic resources
Groupers and Seabasses,Yellowfin Grouper,Mycteroperca venenosa,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Yellowfin Grouper,Mycteroperca venenosa,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Yellowfin Grouper,Mycteroperca venenosa,Fishing & harvesting aquatic resources
Groupers and Seabasses,Leopard Grouper,Mycteroperca rosacea,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Leopard Grouper,Mycteroperca rosacea,Fishing & harvesting aquatic resources
Groupers and Seabasses,Coney,Cephalopholis fulva,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Coney,Cephalopholis fulva,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Coney,Cephalopholis fulva,Fishing & harvesting aquatic resources
Groupers and Seabasses,Peacock Grouper,Cephalopholis argus,Intentional use: (large scale) [harvest]
Groupers and Seabasses,Peacock Grouper,Cephalopholis argus,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Peacock Grouper,Cephalopholis argus,Fishing & harvesting aquatic resources
Groupers and Seabasses,Bluespotted Grouper,Cephalopholis cyanostigma,Intentional use: (subsistence/small scale) [harvest]
Groupers and Seabasses,Bluespotted Grouper,Cephalopholis cyanostigma,Fishing & harvesting aquatic resources
Groupers and Seabasses,Bluespotted Grouper,Cephalopholis cyanostigma,"Soil erosion, sedimentation"
