category,common_name,countries,scientific_name
Odd Shaped Swimmers,Buffalo Trunkfish,Jamaica,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Mexico,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Nicaragua,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Panama,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Puerto Rico,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Suriname,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,United States of America,Lactophrys trigonus
Odd Shaped Swimmers,Buffalo Trunkfish,Venezuela,Lactophrys trigonus
Odd Shaped Swimmers,Balloonfish,United Arab Emirates,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Angola,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Argentina,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Australia,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Bangladesh,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Benin,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Bermuda,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Brazil,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Belize,Diodon holocanthus
Odd Shaped Swimmers,Balloonfish,Costa Rica,Diodon holocanthus
