common_name,scientific_name,url,category,depth,distribution,images,size
Moorish Idol,Zanclus cornutus,https://reefguide.org/moorishidol.html,Large Oval Fish,10-300 ft. (3-90 m),"Indo-Pacific, Hawaii, Gulf of California, Pacific Coast of Mexico to Peru","['https://reefguide.org/pix/thumb2/moorishidol4.jpg', 'https://reefguide.org/pix/thumb2/moorishidol1.jpg', 'https://reefguide.org/pix/thumb2/moorishidol2.jpg', 'https://reefguide.org/pix/thumb2/moorishidol3.jpg', 'https://reefguide.org/pix/thumb2/moorishidol5.jpg', 'https://reefguide.org/pix/thumb2/moorishidol6.jpg', 'https://reefguide.org/pix/thumb2/moorishidol7.jpg', 'https://reefguide.org/pix/thumb2/moorishidol8.jpg', 'https://reefguide.org/pix/thumb2/moorishidol9.jpg']",5 to 8 in. (13 to 20 cm)
Longsnout Butterflyfish,Prognathodes aculeatus,https://reefguide.org/longsnoutbutter.html,Large Oval Fish,30-200 ft. (10-60 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/longsnoutbutter8.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter6.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter1.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter7.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter3.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter4.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter5.jpg', 'https://reefguide.org/pix/thumb2/longsnoutbutter2.jpg']",2 to 3 in. (5 to 8 cm)
Orange-Banded Coralfish,Coradion chrysozonus,https://reefguide.org/coradionchrysozonus.html,Large Oval Fish,10-180 ft. (3-55 m),"Indo-West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/coradionchrysozonus1.jpg', 'https://reefguide.org/pix/thumb2/coradionchrysozonus2.jpg']",Up to 6 in. (15 cm)
Two-Eyed Coralfish,Coradion melanopus,https://reefguide.org/coradionmelanopus.html,Large Oval Fish,30-100 ft. (10-30 m),Asian Pacific,['https://reefguide.org/pix/coradionmelanopus1.jpg'],Up to 6 in. (15 cm)
Humphead Bannerfish,Heniochus varius,https://reefguide.org/humpheadbannerfish.html,Large Oval Fish,6-100 ft. (2-30 m),"West Pacific, Indonesia, French Polynesia","['https://reefguide.org/pix/thumb2/humpheadbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish3.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish4.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish5.jpg', 'https://reefguide.org/pix/thumb2/humpheadbannerfish6.jpg']",5 to 8 in. (13 to 20 cm)
Pennant Bannerfish,Heniochus chrysostomus,https://reefguide.org/pennantbannerfish.html,Large Oval Fish,10-150 ft. (3-45 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/pennantbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish3.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish4.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish5.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish6.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish7.jpg', 'https://reefguide.org/pix/thumb2/pennantbannerfish8.jpg']",5 to 7 in. (13 to 18 cm)
Masked Bannerfish,Heniochus monoceros,https://reefguide.org/maskedbannerfish.html,Large Oval Fish,6-80 ft. (2-25 m),"Indo-Pacific, Australia, French Polynesia","['https://reefguide.org/pix/thumb2/maskedbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/maskedbannerfish2.jpg', 'https://reefguide.org/pix/thumb2/maskedbannerfish3.jpg']",Up to 9 in. (23 cm)
Singular Bannerfish,Heniochus singularius,https://reefguide.org/heniochussingularius.html,Large Oval Fish,6-350 ft. (2-107 m),Indo-West Pacific,['https://reefguide.org/pix/heniochussingularius1.jpg'],Up to 9 in. (23 cm)
Schooling Bannerfish,Heniochus diphreutes,https://reefguide.org/schoolingbannerfish.html,Large Oval Fish,15-60 ft. (5-18 m),"Indo-Pacific, Hawaii, Red Sea","['https://reefguide.org/pix/thumb2/schoolingbannerfish1.jpg', 'https://reefguide.org/pix/thumb2/schoolingbannerfish2.jpg']",5 to 8 in. (13 to 20 cm)
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/commonlongnosebutterflyfish.html,Large Oval Fish,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii, Red Sea, Gulf of California, Pacific Coast of Mexico to Panama","['https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish9.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish7.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish8.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish10.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish11.jpg', 'https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish12.jpg']",5 to 7 in. (13 to 18 cm)
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/biglongnosebutterflyfish.html,Large Oval Fish,15-180 ft. (5-55 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/biglongnosebutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/biglongnosebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/biglongnosebutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/biglongnosebutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/biglongnosebutterflyfish5.jpg']",5 to 8 in. (13 to 20 cm)
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/foureyebutterflyfish.html,Large Oval Fish,10-60 ft. (3-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/foureyebutterflyfish13.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish8.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish7.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish9.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish10.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish12.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish11.jpg', 'https://reefguide.org/pix/thumb2/foureyebutterflyfish14.jpg']",3 to 4 in. (8 to 10 cm)
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/spotfinbutter.html,Large Oval Fish,10-60 ft. (3-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/spotfinbutter2.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter1.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter7.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter6.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter3.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter4.jpg', 'https://reefguide.org/pix/thumb2/spotfinbutter5.jpg']",3 to 7 in. (8 to 18 cm)
Reef Butterflyfish,Chaetodon sedentarius,https://reefguide.org/reefbutterflyfish.html,Large Oval Fish,20-120 ft. (6-37 m),"Florida, Bahamas, Eastern Caribbean, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/reefbutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/reefbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/reefbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/reefbutterflyfish3.jpg']",3 to 5 in. (8 to 13 cm)
Vagabond Butterflyfish,Chaetodon vagabundus,https://reefguide.org/vagabondbutterflyfish.html,Large Oval Fish,5-100 ft. (2-30 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/vagabondbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/vagabondbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/vagabondbutterflyfish3.jpg']",5 to 9 in. (13 to 23 cm)
Atoll Butterflyfish,Chaetodon mertensii,https://reefguide.org/atollbutterflyfish.html,Large Oval Fish,30-300 ft. (10-90 m),"West Pacific, French Polynesia",['https://reefguide.org/pix/atollbutterflyfish1.jpg'],Up to 5 in. (13 cm)
Crosshatch Butterflyfish,Chaetodon xanthurus,https://reefguide.org/crosshatchbutterflyfish.html,Large Oval Fish,30-150 ft. (10-45 m),Asian Pacific,['https://reefguide.org/pix/crosshatchbutterflyfish1.jpg'],Up to 5.5 in. (14 cm)
Chevroned Butterflyfish,Chaetodon trifascialis,https://reefguide.org/chevronedbutterflyfish.html,Large Oval Fish,3-30 ft. (1-10 m),"Indo-Pacific, Red Sea, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/chevronedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/chevronedbutterflyfish2.jpg']",5 to 7 in. (13 to 18 cm)
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/saddledbutterflyfish.html,Large Oval Fish,5-100 ft. (2-30 m),"Indo-Pacific, Hawaii, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/saddledbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/saddledbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/saddledbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/saddledbutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/saddledbutterflyfish5.jpg']",5 to 9 in. (13 to 23 cm)
Ornate Butterflyfish,Chaetodon ornatissimus,https://reefguide.org/ornatebutterfly.html,Large Oval Fish,10-90 ft. (3-27 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/ornatebutterfly4.jpg', 'https://reefguide.org/pix/thumb2/ornatebutterfly1.jpg', 'https://reefguide.org/pix/thumb2/ornatebutterfly2.jpg', 'https://reefguide.org/pix/thumb2/ornatebutterfly3.jpg']",4 to 7 in. (10 to 18 cm)
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,https://reefguide.org/spotbandedbutterflyfish.html,Large Oval Fish,3-150 ft. (1-45 m),"West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/spotbandedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/spotbandedbutterflyfish2.jpg']",3 to 5 in. (8 to 12 cm)
Eastern Triangular Butterflyfish,Chaetodon baronessa,https://reefguide.org/chaetodonbaronessa.html,Large Oval Fish,3-40 ft. (1-12 m),"West Pacific, Indonesia",['https://reefguide.org/pix/chaetodonbaronessa1.jpg'],Up to 6 in. (15 cm)
Redfin Butterflyfish,Chaetodon lunulatus,https://reefguide.org/redfinbutterfly.html,Large Oval Fish,5-60 ft. (2-18 m),Pacific,"['https://reefguide.org/pix/thumb2/redfinbutterfly2.jpg', 'https://reefguide.org/pix/thumb2/redfinbutterfly1.jpg']",4 to 6 in. (10 to 15 cm)
Fourspot Butterflyfish,Chaetodon quadrimaculatus,https://reefguide.org/fourspotbutterflyfish.html,Large Oval Fish,5-45 ft. (2-15 m),"Nothern Pacific, Hawaii, French Polynesia","['https://reefguide.org/pix/thumb2/fourspotbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/fourspotbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/fourspotbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/fourspotbutterflyfish4.jpg']",4 to 6 in. (10 to 15 cm)
Speckled Butterflyfish,Chaetodon citrinellus,https://reefguide.org/speckledbutterflyfish.html,Large Oval Fish,3-50 ft. (1-15 m),"Indo-Pacific, Hawaii, French Polynesia",['https://reefguide.org/pix/speckledbutterflyfish1.jpg'],3 to 5 in. (8 to 12 cm)
Meyer's Butterflyfish,Chaetodon meyeri,https://reefguide.org/chaetodonmeyeri.html,Large Oval Fish,6-150 ft. (2-45 m),"Pacific, Philippines, Indonesia, Great Barrier Reef",['https://reefguide.org/pix/chaetodonmeyeri1.jpg'],Up to 4.75 in. (12 cm)
Dot-Dash Butterflyfish,Chaetodon pelewensis,https://reefguide.org/chaetodonpelewensis.html,Large Oval Fish,10-100 ft. (3-30 m),"Indonesia, Fiji, Great Barrier Reef, French Polynesia",['https://reefguide.org/pix/chaetodonpelewensis1.jpg'],Up to 5 in. (13 cm)
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/multibandbutterflyfish.html,Large Oval Fish,15-120 ft. (5-37 m),Hawaii (Endemic),"['https://reefguide.org/pix/thumb2/multibandbutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/multibandbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/multibandbutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/multibandbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/multibandbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/multibandbutterflyfish4.jpg']",3 to 4 in. (8 to 10 cm)
Milletseed Butterflyfish,Chaetodon miliaris,https://reefguide.org/milletseedbutterflyfish.html,Large Oval Fish,3-150 ft. (1-45 m),Hawaii (Endemic),"['https://reefguide.org/pix/thumb2/milletseedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/milletseedbutterflyfish2.jpg']",Up to 7 in. (17 cm)
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/raccoonbutterflyfish.html,Large Oval Fish,15-90 ft. (5-27 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/raccoonbutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/raccoonbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/raccoonbutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/raccoonbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/raccoonbutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/raccoonbutterflyfish2.jpg']",5 to 8 in. (13 to 20 cm)
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,https://reefguide.org/chaetodonulietensis.html,Large Oval Fish,10-100 ft. (3-30 m),"Pacific, Indonesia, Great Barrier Reef","['https://reefguide.org/pix/thumb2/chaetodonulietensis1.jpg', 'https://reefguide.org/pix/thumb2/chaetodonulietensis2.jpg']",Up to 6 in. (15 cm)
Panda Butterflyfish,Chaetodon adiergastos,https://reefguide.org/pandabutterflyfish.html,Large Oval Fish,3-100 ft. (1-30 m),Asian Pacific,['https://reefguide.org/pix/pandabutterflyfish1.jpg'],Up to 8 in. (20 cm)
Black-Backed Butterflyfish,Chaetodon melannotus,https://reefguide.org/blackbackedbutterflyfish.html,Large Oval Fish,6-80 ft. (2-25 m),"Indo-West Pacific, Red Sea, Great Barrier Reef","['https://reefguide.org/pix/thumb2/blackbackedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/blackbackedbutterflyfish2.jpg']",4 to 6 in. (10 to 15 cm)
Blue-Spot Butterflyfish,Chaetodon plebeius,https://reefguide.org/chaetodonplebeius.html,Large Oval Fish,6-30 ft. (2-10 m),"West Pacific, Indonesia, Great Barrier Reef","['https://reefguide.org/pix/thumb2/chaetodonplebeius1.jpg', 'https://reefguide.org/pix/thumb2/chaetodonplebeius2.jpg']",Up to 6 in. (15 cm)
Dotted butterflyfish,Chaetodon semeion,https://reefguide.org/dottedbutterflyfish.html,Large Oval Fish,6-150 ft. (2-45 m),Indo-Pacific,['https://reefguide.org/pix/dottedbutterflyfish1.jpg'],"Up to 9 in, (22 cm)"
Eclipse Butterflyfish,Chaetodon bennetti,https://reefguide.org/eclipsebutterflyfish.html,Large Oval Fish,15-100 ft. (5-30 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/eclipsebutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/eclipsebutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/eclipsebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/eclipsebutterflyfish4.jpg']",4 to 7 in. (10 to 18 cm)
Ovalspot Butterflyfish,Chaetodon speculum,https://reefguide.org/chaetodonspeculum.html,Large Oval Fish,20-100 ft. (6-30 m),"West Pacific, Indonesia",['https://reefguide.org/pix/chaetodonspeculum1.jpg'],Up to 7 in. (18 cm)
Teardrop Butterflyfish,Chaetodon unimaculatus,https://reefguide.org/teardropbutterflyfish.html,Large Oval Fish,30-180 ft. (10-55 m),"Indo-Pacific, Hawaii, Australia","['https://reefguide.org/pix/thumb2/teardropbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/teardropbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/teardropbutterflyfish3.jpg']",4 to 8 in. (10 to 20 cm)
Spot-Nape Butterflyfish,Chaetodon oxycephalus,https://reefguide.org/spotnapebutterflyfish.html,Large Oval Fish,30-130 ft. (10-40 m),Indo-Pacific,['https://reefguide.org/pix/spotnapebutterflyfish1.jpg'],Up to 10 in. (25 cm)
Latticed Butterflyfish,Chaetodon rafflesii,https://reefguide.org/latticedbutterflyfish.html,Large Oval Fish,3-45 ft. (1-15 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/latticedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/latticedbutterflyfish2.jpg']",4 to 6 in. (10 to 15 cm)
Eight-Banded Butterflyfish,Chaetodon octofasciatus,https://reefguide.org/eightbandedbutterflyfish.html,Large Oval Fish,3-60 ft. (1-18 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/eightbandedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/eightbandedbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/eightbandedbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/eightbandedbutterflyfish4.jpg']",3 to 5 in. (7 to 12 cm)
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/blacklipbutterflyfish.html,Large Oval Fish,20-180 ft. (6-55 m),"Indo-Pacific, Hawaii, Great Barrier Reef","['https://reefguide.org/pix/thumb2/blacklipbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish7.jpg', 'https://reefguide.org/pix/thumb2/blacklipbutterflyfish8.jpg']",3 to 5 in. (8 to 14 cm)
Reticulated Butterflyfish,Chaetodon reticulatus,https://reefguide.org/reticulatedbutterflyfish.html,Large Oval Fish,6-100 ft. (2-30 m),"Pacific, Hawaii, Great Barrier Reef","['https://reefguide.org/pix/thumb2/reticulatedbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/reticulatedbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/reticulatedbutterflyfish2.jpg']",4 to 6 in. (10 to 15 cm)
Threadfin Butterflyfish,Chaetodon auriga,https://reefguide.org/threadfinbutterfly.html,Large Oval Fish,5-120 ft. (2-37 m),"Indo-Pacific, Hawaii, Red Sea, Great Barrier Reef",['https://reefguide.org/pix/threadfinbutterfly1.jpg'],5 to 9 in. (13 to 23 cm)
Bluestripe Butterflyfish,Chaetodon fremblii,https://reefguide.org/bluestripebutterflyfish.html,Large Oval Fish,3-60 ft. (1-18 m),Hawaii (Endemic),"['https://reefguide.org/pix/thumb2/bluestripebutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/bluestripebutterflyfish2.jpg']",3 to 6 in. (8 to 15 cm)
Threebanded Butterflyfish,Chaetodon humeralis,https://reefguide.org/chaetodonhumeralis.html,Large Oval Fish,10-100 ft. (3-30 m),"Gulf of California, Pacific Coast of Mexico to Peru",['https://reefguide.org/pix/chaetodonhumeralis1.jpg'],Up to 5 in. (12 cm)
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pyramidbutterflyfish.html,Large Oval Fish,15-180 ft. (5-55 m),"Eastern Indo-Pacific, Hawaii, Great Barrier Reef","['https://reefguide.org/pix/thumb2/pyramidbutterflyfish4.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish7.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish1.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish2.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish3.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish5.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish6.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish8.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish9.jpg', 'https://reefguide.org/pix/thumb2/pyramidbutterflyfish10.jpg']",5 to 7 in. (13 to 18 cm)
Blacknosed Butterflyfish,Johnrandallia nigrirostris,https://reefguide.org/johnrandallianigrirostris.html,Large Oval Fish,10-70 ft. (3-21 m),"Gulf of California, Pacific Coast of Panama","['https://reefguide.org/pix/thumb2/johnrandallianigrirostris1.jpg', 'https://reefguide.org/pix/thumb2/johnrandallianigrirostris2.jpg', 'https://reefguide.org/pix/thumb2/johnrandallianigrirostris3.jpg', 'https://reefguide.org/pix/thumb2/johnrandallianigrirostris4.jpg']","Up to 5 in, (12 cm)"
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/longfindamselfish.html,Small Oval Fish,15-80 ft. (5-25 m),"Caribbean, Bahamas, Florida, Gulf of Mexico","['https://reefguide.org/pix/thumb2/longfindamselfish1.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish3.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish2.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish4.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish5.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish6.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish7.jpg', 'https://reefguide.org/pix/thumb2/longfindamselfish8.jpg']",3 to 5 in. (8 to 13 cm)
Dusky Damselfish,Stegastes adustus,https://reefguide.org/duskydamsel.html,Small Oval Fish,5-40 ft. (2-12 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/duskydamsel1.jpg', 'https://reefguide.org/pix/thumb2/duskydamsel2.jpg', 'https://reefguide.org/pix/thumb2/duskydamsel3.jpg', 'https://reefguide.org/pix/thumb2/duskydamsel4.jpg']",3 to 5 in. (8 to 13 cm)
Hawaiian Gregory,Stegastes marginatus,https://reefguide.org/hawaiiangregory.html,Small Oval Fish,1-40 ft. (0-12 m),Hawaii (Endemic),"['https://reefguide.org/pix/thumb2/hawaiiangregory3.jpg', 'https://reefguide.org/pix/thumb2/hawaiiangregory2.jpg', 'https://reefguide.org/pix/thumb2/hawaiiangregory1.jpg']",4 to 6 in. (10 to 15 cm)
Cocoa Damselfish,Stegastes xanthurus,https://reefguide.org/cocoadamselfish.html,Small Oval Fish,15-60 ft. (5-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/cocoadamselfish4.jpg', 'https://reefguide.org/pix/thumb2/cocoadamselfish3.jpg', 'https://reefguide.org/pix/thumb2/cocoadamselfish2.jpg', 'https://reefguide.org/pix/thumb2/cocoadamselfish1.jpg']",3 to 4 in. (8 to 10 cm)
Beaugregory,Stegastes leucostictus,https://reefguide.org/beaugregory.html,Small Oval Fish,3-35 ft. (1-12 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/beaugregory4.jpg', 'https://reefguide.org/pix/thumb2/beaugregory3.jpg', 'https://reefguide.org/pix/thumb2/beaugregory2.jpg', 'https://reefguide.org/pix/thumb2/beaugregory1.jpg', 'https://reefguide.org/pix/thumb2/beaugregory5.jpg']",2 to 4 in. (5 to 10 cm)
Bicolor Damselfish,Stegastes partitus,https://reefguide.org/bicolordamsel.html,Small Oval Fish,20-80 ft. (6-25 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/bicolordamsel8.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel5.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel3.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel9.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel6.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel4.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel2.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel7.jpg', 'https://reefguide.org/pix/thumb2/bicolordamsel1.jpg']",2 to 3.5 in. (5 to 9 cm)
Cortez Damselfish,Stegastes rectifraenum,https://reefguide.org/stegastesrectifraenum.html,Small Oval Fish,3-40 ft. (1-12 m),"Gulf of California, Pacific Coast of Mexico",['https://reefguide.org/pix/stegastesrectifraenum1.jpg'],Up to 4 in. (10 cm)
Beaubrummel,Stegastes flavilatus,https://reefguide.org/stegastesflavilatus.html,Small Oval Fish,3-65 ft. (1-20 m),"Gulf of California, Pacific Coast of Mexico to Peru",['https://reefguide.org/pix/stegastesflavilatus1.jpg'],Up to 5 in. (13 cm)
Yellowtail Damselfish,Microspathodon chrysurus,https://reefguide.org/yellowtaildamsel.html,Small Oval Fish,10-50 ft. (3-15 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/yellowtaildamsel11.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel9.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel3.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel6.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel12.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel10.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel5.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel4.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel7.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel8.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel1.jpg', 'https://reefguide.org/pix/thumb2/yellowtaildamsel2.jpg']",4 to 7 in. (10 to 18 cm)
