common_name,scientific_name,url,category,depth,distribution,images,size
White-Banded Cleaner Shrimp,Lysmata amboinensis,https://reefguide.org/lysmataamboinensis.html,Crustaceans,6-50 ft. (2-15 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/lysmataamboinensis1.jpg', 'https://reefguide.org/pix/thumb2/lysmataamboinensis2.jpg', 'https://reefguide.org/pix/thumb2/lysmataamboinensis3.jpg', 'https://reefguide.org/pix/thumb2/lysmataamboinensis4.jpg', 'https://reefguide.org/pix/thumb2/lysmataamboinensis5.jpg']",up to 2.25 in. (6 cm)
Spotted Cleaner Shrimp,Periclimenes yucatanicus,https://reefguide.org/spottedcleanershrimp.html,Crustaceans,3-60 ft. (1-18 m),"Caribbean, Bahamas, South Florida","['https://reefguide.org/pix/thumb2/spottedcleanershrimp8.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp7.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp1.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp4.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp5.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp2.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp6.jpg', 'https://reefguide.org/pix/thumb2/spottedcleanershrimp3.jpg']",0.75 to 1 in. (1.8 to 2.5 cm)
Sun Anemone Shrimp,Periclimenes rathbunae,https://reefguide.org/sunanemoneshrimp.html,Crustaceans,3-60 ft. (1-18 m),"Caribbean, Bahamas, Florida","['https://reefguide.org/pix/thumb2/sunanemoneshrimp1.jpg', 'https://reefguide.org/pix/thumb2/sunanemoneshrimp2.jpg', 'https://reefguide.org/pix/thumb2/sunanemoneshrimp3.jpg', 'https://reefguide.org/pix/thumb2/sunanemoneshrimp4.jpg', 'https://reefguide.org/pix/thumb2/sunanemoneshrimp5.jpg', 'https://reefguide.org/pix/thumb2/sunanemoneshrimp6.jpg']",Up to 1 in. (2.5 cm)
Red and White Crinoid Shrimp,Periclimenes cf. meyeri,https://reefguide.org/periclimenescfmeyeri.html,Crustaceans,3-60 ft. (1-18 m),"Caribbean, Bahamas, Florida","['https://reefguide.org/pix/thumb2/periclimenescfmeyeri1.jpg', 'https://reefguide.org/pix/thumb2/periclimenescfmeyeri2.jpg', 'https://reefguide.org/pix/thumb2/periclimenescfmeyeri3.jpg']",Up to 1 in. (2.5 cm)
Emperor Shrimp,Periclimenes imperator,https://reefguide.org/emperorshrimp.html,Crustaceans,10-150 ft. (3-45 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/emperorshrimp5.jpg', 'https://reefguide.org/pix/thumb2/emperorshrimp1.jpg', 'https://reefguide.org/pix/thumb2/emperorshrimp2.jpg', 'https://reefguide.org/pix/thumb2/emperorshrimp3.jpg', 'https://reefguide.org/pix/thumb2/emperorshrimp4.jpg', 'https://reefguide.org/pix/thumb2/emperorshrimp6.jpg']",Up to 0.75 in. (2 cm)
Peacock-Tail Anemone Shrimp,Periclimenes brevicarpalis,https://reefguide.org/periclimenesbrevicarpalis.html,Crustaceans,10-100 ft. (3-30 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis1.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis2.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis3.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis4.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis5.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis6.jpg', 'https://reefguide.org/pix/thumb2/periclimenesbrevicarpalis7.jpg']",0.8 to 1.5 in (2 to 4 cm)
Coleman Shrimp,Periclimenes colemani,https://reefguide.org/periclimenescolemani.html,Crustaceans,10-100 ft. (3-30 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/periclimenescolemani1.jpg', 'https://reefguide.org/pix/thumb2/periclimenescolemani2.jpg']",Up to 0.75 in. (2 cm)
Sea Star Shrimp,Periclimenes soror,https://reefguide.org/periclimenessoror.html,Crustaceans,10-100 ft. (3-30 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/periclimenessoror1.jpg', 'https://reefguide.org/pix/thumb2/periclimenessoror2.jpg']",Up to 3/8 in. (1.1 cm)
Mushroom Coral Shrimp,Cuapetes kororensis,https://reefguide.org/periclemeneskororensis.html,Crustaceans,3-60 ft. (1-18 m),"West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/periclemeneskororensis1.jpg', 'https://reefguide.org/pix/thumb2/periclemeneskororensis2.jpg', 'https://reefguide.org/pix/thumb2/periclemeneskororensis3.jpg']",Up to 1.5 in. (4 cm)
Periclimenaeus storchi,Periclimenaeus storchi,https://reefguide.org/periclimenaeusstorchi.html,Crustaceans,3-60 ft. (1-18 m),"West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/periclimenaeusstorchi1.jpg', 'https://reefguide.org/pix/thumb2/periclimenaeusstorchi2.jpg']","Up to 1 in, (2.5 cm)"
